"filename", "language", "Go", "Go Module File", "Go Checksum File", "comment", "blank", "total"
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/mocks/securityadvisor.go", "Go", 18, 0, 0, 0, 6, 24
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/mocks/stream.go", "Go", 102, 0, 0, 0, 31, 133
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/filter.go", "Go", 85, 0, 0, 0, 16, 101
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/filter_test.go", "Go", 74, 0, 0, 0, 20, 94
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/grpc.go", "Go", 86, 0, 0, 0, 11, 97
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/identity.go", "Go", 209, 0, 0, 0, 45, 254
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/identity_test.go", "Go", 16, 0, 0, 0, 4, 20
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/logger.go", "Go", 33, 0, 0, 0, 11, 44
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/membershipstore.go", "Go", 50, 0, 0, 0, 9, 59
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/misc.go", "Go", 119, 0, 0, 0, 30, 149
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/msgcomparator.go", "Go", 87, 0, 0, 0, 21, 108
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/msgs.go", "Go", 37, 0, 0, 0, 15, 52
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/networkmember.go", "Go", 91, 0, 0, 0, 19, 110
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/privdata.go", "Go", 65, 0, 0, 0, 11, 76
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/protoext.go", "Go", 355, 0, 0, 0, 53, 408
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/pubsub.go", "Go", 78, 0, 0, 0, 17, 95
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/pubsub_test.go", "Go", 66, 0, 0, 0, 10, 76
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/random.go", "Go", 12, 0, 0, 0, 5, 17
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/secure.go", "Go", 102, 0, 0, 0, 27, 129
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/utils/set.go", "Go", 49, 0, 0, 0, 10, 59
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/internal/peer/gossip/mcs.go", "Go", 1, 0, 0, 0, 2, 3
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/internal/pkg/comm/config.go", "Go", 248, 0, 0, 0, 32, 280
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/internal/pkg/comm/creds.go", "Go", 159, 0, 0, 0, 39, 198
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/internal/pkg/comm/creds_test.go", "Go", 66, 0, 0, 0, 12, 78
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/internal/pkg/comm/generate_test.go", "Go", 147, 0, 0, 0, 21, 168
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/internal/pkg/comm/server.go", "Go", 208, 0, 0, 0, 40, 248
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/internal/pkg/comm/server_test.go", "Go", 284, 0, 0, 0, 55, 339
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/internal/pkg/comm/testpb/test.pb.go", "Go", 381, 0, 0, 0, 56, 437
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/internal/pkg/identity/identity.go", "Go", 6, 0, 0, 0, 2, 8
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/base.go", "Go", 45, 0, 0, 0, 15, 60
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/cert.go", "Go", 101, 0, 0, 0, 19, 120
